Date,Adj Close,Daily Return,positiv,neutral,negativ,Predict_close
2021-05-27,37.96979141235352,-0.0069371855072565,3,2.0,1.0,0.0055712312
2021-05-28,38.04838180541992,0.0020698136635228,8,6.0,1.0,0.0056989547
2021-06-01,37.82242965698242,-0.0059385481777654,2,7.0,1.0,0.005391712
2021-06-02,38.107330322265625,0.0075325849731762,3,6.0,2.0,0.004880202
2021-06-03,38.28416061401367,0.0046403222228539,2,2.0,3.0,0.0041809287
2021-06-04,38.46099472045898,0.0046189887308272,9,6.0,3.0,0.003881337
2021-06-07,38.303810119628906,-0.0040868573985806,6,4.0,2.0,0.003159615
2021-06-08,38.1662712097168,-0.0035907370437184,3,3.0,4.0,0.002980118
2021-06-09,39.109375,0.0247103990091412,6,7.0,5.0,0.0027319945
2021-06-10,39.96406555175781,0.021853853500799,7,6.0,1.0,0.0015063803
2021-06-11,39.44339370727539,-0.0130285004114032,1,12.0,8.0,0.0011925501
2021-06-14,38.93254470825195,-0.0129514463895942,7,4.0,3.0,-0.0006378548
2021-06-15,38.89324951171875,-0.0010093148759647,7,5.0,0.0,-0.0007936341
2021-06-17,38.78518295288086,0.0045802038089914,7,8.0,5.0,0.00019929725
2021-06-18,38.1269760131836,-0.0169705771530562,1,12.0,3.0,0.0002462006
2021-06-21,38.72623825073242,0.015717539134014,2,4.0,3.0,-5.9330392e-05
2021-06-22,38.91289520263672,0.0048199091968548,3,5.0,2.0,0.00045906618
2021-06-23,38.36275100708008,-0.0141378376677395,2,13.0,3.0,0.0014074378
2021-06-24,38.50028610229492,0.0035851207643962,2,1.0,2.0,0.0012340295
2021-06-25,38.29397964477539,-0.0053585694654677,3,6.0,4.0,0.0023205625
2021-06-28,38.4315185546875,0.0035916588243884,5,5.0,3.0,0.002665551
2021-06-29,38.411869049072266,-0.0005112862138735,4,3.0,0.0,0.0028948432
2021-07-01,38.86377716064453,0.0102144851497696,5,3.0,3.0,0.003903747
2021-07-02,39.0307846069336,0.0042972520555253,8,4.0,4.0,0.004443224
2021-07-06,38.59852600097656,-0.0110748121081901,7,7.0,1.0,0.0043518716
2021-07-07,38.65746688842773,0.0015270243078628,2,5.0,1.0,0.0042842925
2021-07-08,38.55923461914063,-0.0025410943135675,2,4.0,1.0,0.0044295895
2021-07-09,38.91289520263672,0.0091718776834988,5,11.0,10.0,0.0048194868
2021-07-12,39.06025314331055,0.0037868665363105,3,6.0,5.0,0.0022531273
2021-07-13,38.95219421386719,-0.0027664677196764,1,4.0,4.0,0.000566607
2021-07-14,39.24691390991211,0.0075661898384147,1,5.0,1.0,-3.4266523e-05
2021-07-15,39.38444519042969,0.0035042571967127,3,2.0,1.0,0.0002857798
2021-07-16,39.639869689941406,0.0064854157085798,4,9.0,0.0,0.0015007736
2021-07-19,39.44339370727539,-0.0049565244336782,2,8.0,1.0,0.0021794038
2021-07-20,40.32755279541016,0.022415897949767,1,5.0,3.0,0.0026992022
2021-07-21,40.29808044433594,-0.0007308241892023,2,9.0,3.0,0.0028751977
2021-07-22,40.74016189575195,0.010970285595282,4,3.0,6.0,0.0025468965
2021-07-23,40.94646835327149,0.0050639577242583,9,10.0,5.0,0.0020753534
2021-07-26,41.07417678833008,0.0031189120867951,5,4.0,1.0,0.00080098526
2021-07-27,41.359073638916016,0.006936154851115,7,5.0,2.0,0.0011727327
2021-07-28,42.6853141784668,0.0320664952781457,7,21.0,0.0,0.0018071467
2021-07-29,42.417667388916016,-0.0062702312189094,5,7.0,0.0,0.00069959956
2021-07-30,42.43749237060547,0.0004673755750801,5,5.0,2.0,0.0015689955
2021-08-02,43.577484130859375,0.0268628445408223,7,4.0,0.0,0.0028600453
2021-08-03,45.28251647949219,0.0391264521722445,5,8.0,1.0,0.0045103603
2021-08-04,44.79677963256836,-0.0107268077105169,2,10.0,4.0,0.005305584
2021-08-05,44.66791534423828,-0.0028766417895894,5,3.0,5.0,0.0051242863
2021-08-06,44.677825927734375,0.0002218725324367,4,2.0,2.0,0.004951964
2021-08-09,45.57990646362305,0.020190788543466,10,6.0,0.0,0.005280797
2021-08-10,47.77067565917969,0.0480643635656663,5,6.0,2.0,0.0053670914
2021-08-11,45.90703582763672,-0.0390122142051982,4,7.0,1.0,0.0049163736
2021-08-12,46.82894515991211,0.0200820923340989,2,7.0,2.0,0.004978114
2021-08-13,48.05815505981445,0.0262489341945419,8,12.0,3.0,0.0043695616
2021-08-16,48.484413146972656,0.0088696306928068,10,8.0,5.0,0.0027231246
2021-08-17,49.98126983642578,0.0308729464233308,6,6.0,1.0,0.001206406
2021-08-18,48.88093185424805,-0.0220150065370252,8,7.0,3.0,0.00091835996
2021-08-19,48.375370025634766,-0.010342720759104,8,5.0,0.0,0.0009901443
2021-08-20,48.29606628417969,-0.0016393412890289,16,11.0,1.0,0.001914416
2021-08-23,49.49553680419922,0.0248357808886898,26,14.0,3.0,0.0020179956
2021-08-24,47.95902633666992,-0.031043414552864,17,10.0,1.0,0.00085848145
2021-08-25,47.09659194946289,-0.0179827334515255,17,12.0,1.0,0.0010375463
2021-08-26,46.96772766113281,-0.0027361701345259,8,6.0,5.0,0.0013775097
2021-08-27,46.19451141357422,-0.016462713570843,4,9.0,4.0,0.0018220553
2021-08-30,46.353118896484375,0.003433470298888,6,4.0,4.0,0.0020085163
2021-08-31,45.66912460327149,-0.0147561654856577,2,4.0,1.0,0.0024945636
2021-09-01,45.63938522338867,-0.000651192247304,2,7.0,4.0,0.0036566763
2021-09-02,46.43242263793945,0.0173761633875904,5,5.0,2.0,0.0036408035
2021-09-03,46.43242263793945,0.0,5,16.0,6.0,0.003643989
2021-09-07,46.34320831298828,-0.0019213799298569,2,5.0,3.0,0.0013878476
2021-09-08,46.10529327392578,-0.0051337628041565,7,10.0,1.0,0.0007025691
2021-09-09,45.62947082519531,-0.0103203431741223,8,6.0,2.0,0.00039082754
2021-09-10,45.193302154541016,-0.009558924589006,5,5.0,0.0,0.00078596576
2021-09-14,44.32095718383789,0.0029160032912398,2,7.0,1.0,0.0019002829
2021-09-15,44.38043594360352,0.0013420007947688,6,10.0,4.0,0.0026987311
2021-09-16,44.08304977416992,-0.0067008393025137,5,4.0,4.0,0.0022461854
2021-09-17,43.508094787597656,-0.0130425410564302,9,10.0,8.0,0.0021996642
2021-09-20,43.81539535522461,0.0070630665196249,12,9.0,6.0,0.00047236268
2021-09-21,43.5378303527832,-0.0063348738540666,5,3.0,0.0,-0.0012615871
2021-09-22,43.56757354736328,0.0006831574825634,5,11.0,6.0,-0.00039534358
2021-09-23,43.80548095703125,0.0054606531944987,7,10.0,5.0,-0.0009613692
2021-09-24,43.557655334472656,-0.0056574112906484,6,12.0,1.0,-0.0016000491
2021-09-27,43.19087600708008,-0.0084205479972724,9,7.0,2.0,-0.0014598432
2021-09-28,42.665489196777344,-0.0121643008633723,4,9.0,6.0,-0.00036729354
2021-09-29,43.15122604370117,0.0113847715347541,6,5.0,3.0,-7.753549e-05
2021-09-30,42.63574981689453,-0.0119458072010421,6,4.0,0.0,0.000836919
2021-10-01,42.55644607543945,-0.001860029242963,2,6.0,8.0,0.0027568755
2021-10-04,42.05088424682617,-0.0118797943727978,1,5.0,2.0,0.00275564
2021-10-05,41.95175552368164,-0.0023573516923609,1,3.0,2.0,0.003249427
2021-10-06,41.65436553955078,-0.0070888567216926,5,4.0,2.0,0.003970628
2021-10-07,42.36810302734375,0.0171347583512051,3,2.0,3.0,0.004512554
2021-10-08,42.08062362670898,-0.0067852790210888,3,5.0,2.0,0.0046789097
2021-10-11,41.69401931762695,-0.0091872286045839,2,2.0,2.0,0.004628538
2021-10-12,41.48584365844727,-0.0049929381380527,2,7.0,1.0,0.0047890046
2021-10-13,41.05958557128906,-0.010274784108709,4,3.0,2.0,0.0044114566
2021-10-14,41.30740737915039,0.0060356626695865,3,5.0,1.0,0.004245511
2021-10-15,41.12897872924805,-0.0043195315616056,5,4.0,1.0,0.0039247
2021-10-18,40.96045684814453,-0.0040974000889468,6,8.0,1.0,0.00388578
2021-10-19,41.7237548828125,0.018634998078703,4,4.0,3.0,0.0034412898
2021-10-20,42.42757797241211,0.0168686421338732,8,12.0,0.0,0.0029963562
2021-10-21,42.48705673217773,0.0014018891157139,5,13.0,1.0,0.0022020356
2021-10-22,42.784446716308594,0.0069995430845091,7,3.0,0.0,0.0014328451
2021-10-25,42.774532318115234,-0.0002317290266506,4,3.0,1.0,0.00239048
2021-10-26,43.180965423583984,0.0095017545123836,5,9.0,1.0,0.0037728264
2021-10-27,42.596099853515625,-0.0135445227852392,3,5.0,1.0,0.004252065
2021-10-28,42.80427169799805,0.0048871104443437,4,7.0,0.0,0.005023732
2021-10-29,43.35940170288086,0.0129690328292346,4,3.0,0.0,0.005432881
2021-11-01,43.26026916503906,-0.0022862985638293,5,8.0,0.0,0.0061642705
2021-11-02,45.05451965332031,0.0414757125397471,7,16.0,2.0,0.0063184598
2021-11-03,44.43000030517578,-0.0138614139702298,3,5.0,3.0,0.004398337
2021-11-04,43.84999847412109,-0.013054283751313,4,8.0,4.0,0.0038064944
2021-11-05,48.61000061035156,0.1085519339080405,20,10.0,7.0,0.002917037
2021-11-08,48.33000183105469,-0.0057601064756467,9,3.0,1.0,0.0003119129
2021-11-09,47.29999923706055,-0.0213118674730177,4,17.0,4.0,0.00083219877
2021-11-10,49.02000045776367,0.0363636627578518,1,3.0,1.0,-9.311453e-05
2021-11-11,50.18000030517578,0.0236638073557666,3,1.0,0.0,0.0008177111
2021-11-12,49.72999954223633,-0.0089677313711183,8,6.0,1.0,0.0028073855
2021-11-15,49.650001525878906,-0.0016086470358697,5,4.0,1.0,0.0042509846
2021-11-16,49.59999847412109,-0.0010071107798808,5,8.0,2.0,0.0053209914
2021-11-17,50.869998931884766,0.0256048487264832,5,5.0,1.0,0.0051915944
2021-11-18,51.40999984741211,0.0106153121066585,7,9.0,1.0,0.0049417038
2021-11-19,50.79999923706055,-0.0118654077448372,6,14.0,4.0,0.0042167627
2021-11-22,51.20000076293945,0.0078740459032742,5,0.0,0.0,0.0022089386
2021-11-23,51.08000183105469,-0.00234372910345,3,3.0,0.0,0.0025015664
2021-11-24,50.88999938964844,-0.0037197031048408,5,8.0,2.0,0.003249776
2021-11-26,54.0,0.0611122155168304,5,16.0,5.0,0.0029613366
2021-11-29,52.400001525878906,-0.0296296013726128,8,9.0,6.0,0.00020523634
2021-11-30,53.72999954223633,0.0253816407944296,3,2.0,3.0,-0.001714975
2021-12-01,54.68000030517578,0.0176810119306378,2,7.0,1.0,-0.0019081784
2021-12-02,53.040000915527344,-0.0299926733814082,2,4.0,3.0,-0.0015597331
2021-12-03,54.27000045776367,0.023190036218047,5,6.0,1.0,-0.0007254952
2021-12-06,51.47999954223633,-0.0514096350100217,3,4.0,0.0,-0.00018546415
2021-12-07,51.720001220703125,0.0046620373077099,4,5.0,1.0,0.0011414085
2021-12-08,51.400001525878906,-0.0061871555930305,7,16.0,2.0,0.0017140104
2021-12-09,52.08000183105469,0.0132295775289696,5,12.0,0.0,0.00036318193
2021-12-10,52.77999877929688,0.0134408011449951,10,3.0,2.0,-0.000546098
2021-12-13,55.20000076293945,0.0458507396667813,2,1.0,2.0,-0.00022400732
2021-12-14,55.540000915527344,0.0061594229689967,3,4.0,1.0,0.00069841393
